;Sujet;Mouvement;L Moy Cuisse Gauche;Amplitude de variation Cuisse Gauche;L Moy Cuisse Droite;Amplitude de variation Cuisse Droite;L Moy Jambe Gauche;Amplitude de variation Jambe Gauche;L Moy Jambe Droite;Amplitude de variation Jambe Droite
81;Sujet_07;Sujet_07_marche02_nomarkerspose_filt_0.c3d;42.68;2.4e-05;42.94;2.2e-05;43.98;2.8e-05;43.85;3.4e-05
82;Sujet_07;Sujet_07_Nposepose_filt_0.c3d;45.5;1.9e-05;45.73;1.9e-05;44.18;1.1e-05;43.53;1.2e-05
83;Sujet_07;Sujet_07_Npose_nomarkerspose_filt_0.c3d;42.67;2E-05;42.53;1.8e-05;43.02;1.1e-05;43.0;1.2e-05
84;Sujet_07;Sujet_07_Tposepose_filt_0.c3d;46.71;1.8e-05;47.06;1.8e-05;43.37;1.1e-05;42.98;1.1e-05
85;Sujet_07;Sujet_07_Tpose_nomarkerspose_filt_0.c3d;45.88;2E-05;45.66;1.8e-05;42.76;1.1e-05;42.92;1.1e-05
86;Sujet_07;Sujet_07_velo_100pose_filt_0.c3d;45.89;2.7e-05;45.66;2.5e-05;43.93;1.7e-05;43.84;1.7e-05
87;Sujet_07;Sujet_07_velo_100_nomarkerspose_filt_0.c3d;44.39;2.7e-05;44.84;2.7e-05;43.92;1.6e-05;44.03;1.7e-05
88;Sujet_07;Sujet_07_velo_60pose_filt_0.c3d;46.1;2.8e-05;45.28;2.5e-05;43.95;1.8e-05;43.8;1.6e-05
89;Sujet_07;Sujet_07_velo_60_nomarkerspose_filt_0.c3d;44.37;2.7e-05;44.18;2.8e-05;43.85;2.1e-05;44.09;1.6e-05
90;Sujet_07;Sujet_07_velo_80pose_filt_0.c3d;46.2;2.6e-05;44.82;2.8e-05;43.73;1.6e-05;43.44;1.8e-05
91;Sujet_07;Sujet_07_velo_80_nomarkerspose_filt_0.c3d;45.08;2.9e-05;45.01;2.6e-05;44.08;1.6e-05;43.91;1.8e-05
92;Sujet_08;Sujet_08_marche01_nomarkers_pose_filt_0.c3d;40.89;2E-05;40.63;2.3e-05;39.77;3.6e-05;39.5;2.3e-05
93;Sujet_08;Sujet_08_marche01_pose_filt_0.c3d;40.99;2.1e-05;41.1;2.8e-05;39.48;3.7e-05;39.29;2.7e-05
94;Sujet_08;Sujet_08_marche02_nomarkers_pose_filt_0.c3d;41.12;2.2e-05;40.45;2.2e-05;39.54;2.9e-05;39.78;2.8e-05
95;Sujet_08;Sujet_08_marche02_pose_filt_0.c3d;41.08;2.2e-05;40.79;2.9e-05;39.41;3.5e-05;39.26;3.5e-05
96;Sujet_08;Sujet_08_Tpose_nomarkers_pose_filt_0.c3d;42.77;1.5e-05;42.75;1.3e-05;39.32;6E-06;39.11;6E-06
97;Sujet_08;Sujet_08_Tpose_pose_filt_0.c3d;42.28;1.5e-05;42.41;1.3e-05;38.07;7E-06;37.53;6E-06
98;Sujet_08;Sujet_08_velo_100_nomarkers_pose_filt_0.c3d;39.96;2.2e-05;38.88;2.5e-05;39.23;1.6e-05;39.48;1.7e-05
99;Sujet_08;Sujet_08_velo_100_pose_filt_0.c3d;39.78;2.2e-05;39.38;2.1e-05;39.24;1.7e-05;39.27;1.7e-05
100;Sujet_08;Sujet_08_velo_60_nomarkers_pose_filt_0.c3d;40.13;2.2e-05;38.69;2E-05;39.28;1.6e-05;39.44;1.7e-05
101;Sujet_08;Sujet_08_velo_60_pose_filt_0.c3d;40.0;2.2e-05;39.38;2.2e-05;39.23;1.7e-05;39.37;1.7e-05
102;Sujet_08;Sujet_08_velo_80_nomarkers_pose_filt_0.c3d;39.95;2.1e-05;38.73;2.3e-05;39.33;1.6e-05;39.47;1.6e-05
103;Sujet_08;Sujet_08_velo_80_pose_filt_0.c3d;39.81;2.3e-05;38.7;2.2e-05;39.38;1.6e-05;39.65;1.7e-05
